T,lambda_,eta_mu,xi,p,forget_acc,test_acc,verification_err
10,0.0001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.0001,0.01,0.01,0.001,94.0,93.52631578947368,tensor(18.0598)
10,0.0001,0.01,0.01,0.01,15.0,9.736842105263158,tensor(22.9972)
10,0.001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.0001,0.01,0.001,0.01,15.0,9.726315789473684,tensor(18.7053)
50,0.0001,0.01,0.01,0.001,15.0,9.726315789473684,tensor(19.9030)
50,0.0001,0.01,0.01,0.01,15.0,9.726315789473684,tensor(18.8176)
50,0.001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.01,0.001,0.001,13.0,11.631578947368421,tensor(928.0782)
50,0.001,0.01,0.001,0.01,8.0,4.557894736842106,tensor(1037.0989)
50,0.001,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.01,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.01,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.01,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.01,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.01,0.01,0.001,0.001,33.0,25.852631578947367,tensor(6275.7671)
50,0.01,0.01,0.001,0.01,10.0,9.452631578947368,tensor(4557.5059)
50,0.01,0.01,0.01,0.001,15.0,9.726315789473684,tensor(146.8199)
50,0.01,0.01,0.01,0.01,15.0,9.726315789473684,tensor(111.7267)
50,0.1,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.1,0.01,0.01,0.001,43.0,29.54736842105263,tensor(28513.2441)
50,0.1,0.01,0.01,0.01,40.0,32.98947368421052,tensor(853843.3750)
